,sentence,Mot,Label
0,1,With,O
1,1,severe,O
2,1,comorbidities,B-Condition
3,1,",",O
4,1,such,O
5,1,as,O
6,1,cardiovascular,B-Condition
7,1,disease,I-Condition
8,1,",",O
9,1,chronic,B-Condition
10,1,obstructive,I-Condition
11,1,pulmonary,I-Condition
12,1,disease,I-Condition
13,1,",",O
14,1,diabetes,B-Condition
15,1,mellitus,I-Condition
16,1,",",O
17,1,and,O
18,1,chronic,B-Condition
19,1,renal,I-Condition
20,1,dysfunction,I-Condition
21,1,.,O
22,2,With,O
23,2,bad,B-Condition
24,2,compliance,I-Condition
25,2,or,O
26,2,contraindication,B-Condition
27,2,to,I-Condition
28,2,enrollment,I-Condition
29,2,.,O
30,3,Pregnant,B-Condition
31,3,woman,B-Person
32,3,or,O
33,3,lactating,B-Condition
34,3,woman,B-Person
35,3,.,O
36,4,With,O
37,4,contraindication,B-Condition
38,4,to,O
39,4,receive,O
40,4,adjuvant,B-Procedure
41,4,chemotherapy,I-Procedure
42,4,.,O
43,5,The,O
44,5,informed,O
45,5,consent,O
46,5,has,O
47,5,been,O
48,5,obtained,O
49,5,from,O
50,5,the,O
51,5,patient,O
52,5,.,O
53,6,With,O
54,6,confirmed,O
55,6,diagnosis,O
56,6,of,O
57,6,stage,O
58,6,II,O
59,6,colon,B-Condition
60,6,cancer,I-Condition
61,6,.,O
62,7,With,O
63,7,moderate,O
64,7,/,O
65,7,good,O
66,7,ECOG,O
67,7,health,O
68,7,rating,O
69,7,(,O
70,7,PS,O
71,7,):,O
72,7,0,O
73,7,-,O
74,7,1,O
75,7,score,O
76,7,.,O
77,8,The,O
78,8,patient,O
79,8,receive,O
80,8,no,O
81,8,anti,B-Drug
82,8,-,I-Drug
83,8,cancer,I-Drug
84,8,treatment,I-Drug
85,8,before,O
86,8,primary,B-Procedure
87,8,surgery,I-Procedure
88,8,.,O
89,9,The,O
90,9,patient,O
91,9,receive,O
92,9,radical,B-Procedure
93,9,operation,I-Procedure
94,9,for,I-Procedure
95,9,colon,I-Procedure
96,9,cancer,I-Procedure
97,9,with,I-Procedure
98,9,negative,I-Procedure
99,9,margin,I-Procedure
100,9,.,O
101,10,Inability,O
102,10,to,O
103,10,give,O
104,10,informed,O
